order_purchase_timestamp,total_sales,total_items,total_orders,day_of_week,month,quarter,is_weekend,is_holiday,total_sales_lag_1,total_sales_lag_7,total_sales_lag_14,total_sales_lag_30,total_sales_rolling_avg_7,total_sales_rolling_std_7,total_sales_rolling_avg_30,total_sales_rolling_std_30
2017-10-07,15111.02,116,102,5,10,4,1,0,17024.77,12685.49,10302.51,16893.5,20696.928571428572,4106.0406754010055,20135.248333333337,5113.907245422702
2017-10-08,16539.010000000002,137,124,6,10,4,1,0,15111.02,18431.37,12920.75,11573.57,20426.59142857143,4335.923126983944,20300.762999999995,4903.264617083091
2017-10-09,29148.89,221,189,0,10,4,0,0,16539.010000000002,21764.65,17897.6,15082.53,21481.48285714286,5466.563459260643,20769.641666666666,5057.197305081614
2017-10-10,28072.33,204,178,1,10,4,0,0,29148.89,26118.57,21681.9,17708.37,21760.591428571428,5783.471766627795,21115.107000000004,5193.031061859966
2017-10-11,22669.37,178,156,2,10,4,0,0,28072.33,21197.7,20646.92,23326.79,21970.829999999998,5786.347494827791,21093.193000000003,5184.7567087956095
2017-10-12,18704.98,156,138,3,10,4,0,1,22669.37,25230.42,23264.52,27006.02,21038.624285714286,5698.665059812559,20816.491666666665,5078.740310549518
2017-10-13,22881.19,165,151,4,10,4,0,0,18704.98,17024.77,30878.56,27333.38,21875.255714285715,5434.964856328736,20668.085333333333,4945.032002209294
2017-10-14,13490.95,127,115,5,10,4,1,0,22881.19,15111.02,12685.49,22557.76,21643.817142857144,5793.67196118521,20365.858333333334,5100.1929309167335
2017-10-15,18751.85,137,120,6,10,4,1,0,13490.95,16539.010000000002,18431.37,18208.27,21959.937142857143,5522.751484718192,20383.977666666666,5093.224221762633
2017-10-16,30580.16,226,194,0,10,4,0,0,18751.85,29148.89,21764.65,20705.63,22164.404285714285,5850.060612346544,20713.128666666667,5423.116290627297
2017-10-17,29675.77,259,197,1,10,4,0,0,30580.16,28072.33,26118.57,19979.42,22393.467142857142,6143.953601025725,21036.340333333337,5661.583050722736
2017-10-18,27257.79,223,176,2,10,4,0,0,29675.77,22669.37,21197.7,28487.81,23048.955714285716,6416.993749806969,20995.339666666663,5609.97805849879
2017-10-19,23223.71,195,175,3,10,4,0,0,27257.79,18704.98,25230.42,20057.95,23694.48857142857,6127.945252106456,21100.865,5621.50006905247
2017-10-20,18543.3,130,119,4,10,4,0,0,23223.71,22881.19,17024.77,22102.55,23074.789999999997,6435.51840663722,20982.22333333333,5637.167662204339
2017-10-21,14559.65,122,108,5,10,4,1,0,18543.3,13490.95,15111.02,19015.53,23227.46142857143,6177.780657205904,20833.694,5748.378646885545
2017-10-22,19735.66,181,156,6,10,4,1,0,14559.65,18751.85,16539.010000000002,15755.12,23368.00571428571,6069.227762169997,20966.378666666667,5672.551767638884
2017-10-23,22138.1,188,157,0,10,4,0,0,19735.66,30580.16,29148.89,10302.51,22161.99714285714,5169.291629084558,21360.898333333334,5304.984403309056
2017-10-24,22051.37,192,163,1,10,4,0,0,22138.1,29675.77,28072.33,12920.75,21072.79714285714,3991.2490738101556,21665.252333333334,5060.341519671198
2017-10-25,17507.06,171,154,2,10,4,0,0,22051.37,27257.79,22669.37,17897.6,19679.83571428571,3067.5280208927124,21652.23433333333,5070.859642492575
2017-10-26,21851.8,178,142,3,10,4,0,0,17507.06,23223.71,18704.98,21681.9,19483.84857142857,2838.6580203236335,21657.897666666668,5070.988790558531
2017-10-27,20377.58,156,131,4,10,4,0,0,21851.8,18543.3,22881.19,20646.92,19745.88857142857,2821.977606162211,21648.919666666665,5073.078407925024
2017-10-28,16483.61,97,86,5,10,4,1,0,20377.58,14559.65,13490.95,23264.52,20020.739999999998,2272.954518587359,21422.889333333333,5149.10497620565
2017-10-29,17048.75,159,129,6,10,4,1,0,16483.61,19735.66,18751.85,30878.56,19636.895714285714,2540.2766373426007,20961.895666666667,4885.704382045212
2017-10-30,20195.24,168,143,0,10,4,0,0,17048.75,22138.1,30580.16,12685.49,19359.344285714287,2317.8479335859492,21212.220666666668,4632.873927207557
2017-10-31,23813.0,194,157,1,10,4,0,0,20195.24,22051.37,29675.77,18431.37,19611.005714285715,2719.657659583028,21391.608333333334,4625.669116923063
2017-11-01,19383.61,127,109,2,11,4,0,0,23813.0,17507.06,27257.79,21764.65,19879.084285714285,2565.8424578479635,21312.240333333335,4639.454291026856
2017-11-02,21163.83,143,119,3,11,4,0,1,19383.61,21851.8,23223.71,26118.57,19780.802857142855,2489.7334093413547,21147.082333333332,4549.7800373157015
2017-11-03,22844.05,169,138,4,11,4,0,0,21163.83,20377.58,18543.3,21197.7,20133.155714285713,2749.2698135435744,21201.96066666667,4560.3283359568095
2017-11-04,19169.07,135,111,5,11,4,1,0,22844.05,16483.61,14559.65,25230.42,20516.792857142857,2306.9078217440306,20999.915666666664,4509.685881796393
2017-11-05,16461.54,161,140,6,11,4,1,0,19169.07,17048.75,19735.66,17024.77,20432.905714285713,2459.6557108455695,20981.141333333333,4527.940965309643
2017-11-06,27867.84,205,186,0,11,4,0,0,16461.54,20195.24,22138.1,15111.02,21528.99142857143,3721.8134666916753,21406.368666666665,4556.575308358572
2017-11-07,20829.71,177,157,1,11,4,0,0,27867.84,23813.0,22051.37,16539.010000000002,21102.807142857146,3584.9742195572903,21549.392,4464.94646951377
2017-11-08,19227.52,198,173,2,11,4,0,0,20829.71,19383.61,17507.06,29148.89,21080.50857142857,3597.9119731098963,21218.679666666667,4244.6488120963495
2017-11-09,24640.35,221,186,3,11,4,0,0,19227.52,21163.83,21851.8,28072.33,21577.15428571429,3842.931892339726,21104.280333333332,4097.25287006869
2017-11-10,19323.84,188,163,4,11,4,0,0,24640.35,22844.05,20377.58,22669.37,21074.26714285714,3879.6667671580253,20992.762666666666,4098.714381169596
2017-11-11,23203.07,174,154,5,11,4,1,0,19323.84,19169.07,16483.61,18704.98,21650.552857142855,3848.9863216424073,21142.699,4094.4091806960323
2017-11-12,23087.26,186,172,6,11,4,1,0,23203.07,16461.54,17048.75,22881.19,22597.084285714285,3102.552577877613,21149.568000000003,4097.597953473014
2017-11-13,24200.32,233,200,0,11,4,0,0,23087.26,27867.84,20195.24,13490.95,22073.152857142853,2259.165220235927,21506.547,3867.408463857717
2017-11-14,26692.95,213,185,1,11,4,0,0,24200.32,20829.71,23813.0,18751.85,22910.75857142857,2754.0351343644916,21771.250333333333,3943.3793639793953
2017-11-15,22947.39,213,182,2,11,4,0,1,26692.95,19227.52,19383.61,30580.16,23442.16857142857,2234.8220100149647,21516.824666666667,3585.4179088104756
2017-11-16,28268.82,257,224,3,11,4,0,0,22947.39,24640.35,21163.83,29675.77,23960.52142857143,2885.2115458051394,21469.92633333333,3482.7480938076196
2017-11-17,29209.07,225,189,4,11,4,0,0,28268.82,19323.84,22844.05,27257.79,25372.697142857145,2646.8673208386062,21534.969,3610.4472770838856
